ticker,action,reason,price,target_weight,target_value,current_shares,target_shares,delta_shares,limit_price,order_value,current_value,current_weight,drift_abs,drift_threshold,drift_ok,submitted,broker_response,broker_reject_reason,broker_order_id,submitted_at,submission_batch_id,strategy,raw_target_gross_exposure,submitted_target_gross_exposure,target_weight_scale,fill_status,reconciled_at,broker_ret,broker_code,broker_requested_qty,broker_requested_price,unlock_attempted,unlock_ok,unlock_message,raw_limit_price,broker_requested_price_raw,broker_qty,broker_trd_side,broker_order_type,broker_order_status,broker_updated_time,broker_dealt_qty,broker_dealt_avg_price,filled_value,unfilled_qty,execution_slippage_bps,execution_slippage_dollars,reconcile_match_type
GOOGL,SELL,rebalance_to_target,382.695,0.0,0.0,446,0,-446,382.31,170681.97,170681.97,0.164928,0.164928,0.01,True,True,"       code  stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.GOOGL  Alphabet-A     SELL     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2821460,2026-05-04T14:57:29.027307+00:00,20260504T145729Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.002782+00:00,0.0,US.GOOGL,446.0,382.31,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,382.312312,382.31,446.0,SELL,NORMAL,FILLED_ALL,2026-05-04 10:57:30,446.0,382.69,170679.74,0.0,0.130652347169298,2.229999999997972,missing_broker_order
AMAT,BUY,rebalance_to_target,393.44,0.186667,193178.85,0,490,490,393.84,192785.6,0.0,0.0,0.186667,0.01,True,True,"      code         stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.AMAT  Applied Materials      BUY     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2821461,2026-05-04T14:57:29.027307+00:00,20260504T145729Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.004055+00:00,0.0,US.AMAT,490.0,393.84,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,393.833442,393.84,490.0,BUY,NORMAL,FILLED_ALL,2026-05-04 10:57:39,490.0,393.48,192805.2,0.0,1.01667344449015,19.600000000010027,missing_broker_order
C,BUY,rebalance_to_target,125.685,0.111093,114968.46,0,914,914,125.82,114876.09,0.0,0.0,0.111093,0.01,True,True,"   code stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.C  Citigroup      BUY     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2821462,2026-05-04T14:57:29.027307+00:00,20260504T145729Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.005263+00:00,0.0,US.C,914.0,125.82,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,125.810683,125.82,914.0,BUY,NORMAL,FILLED_ALL,2026-05-04 10:57:45,914.0,125.714,114902.6,0.0,2.307355690814048,26.505999999996675,missing_broker_order
MU,BUY,rebalance_to_target,584.9,0.26224,271388.2,0,463,463,585.49,270808.71,0.0,0.0,0.26224,0.01,True,True,"    code         stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.MU  Micron Technology      BUY     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2821463,2026-05-04T14:57:29.027307+00:00,20260504T145729Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.006363+00:00,0.0,US.MU,463.0,585.49,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,585.484924,585.49,463.0,BUY,NORMAL,FILLED_ALL,2026-05-04 10:57:30,463.0,585.238,270965.19,0.0,5.778765600958781,156.49400000003664,missing_broker_order
QQQ,BUY,rebalance_to_target,675.7789,0.44,455349.33,0,673,673,676.46,454799.18,0.0,0.0,0.44,0.03,True,True,"     code         stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.QQQ  Invesco QQQ Trust      BUY     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2821464,2026-05-04T14:57:29.027307+00:00,20260504T145729Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.007401+00:00,0.0,US.QQQ,673.0,676.46,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,676.454648,676.46,673.0,BUY,NORMAL,FILLED_ALL,2026-05-04 10:57:33,673.0,675.74,454773.02,0.0,-0.5756320595391832,-26.179700000008324,missing_broker_order
AMAT,SELL,rebalance_to_target,424.86,0.0,0.0,490,0,-490,424.43,208181.4,208181.4,0.185699,0.185699,0.01,True,True,"      code         stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.AMAT  Applied Materials     SELL     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2827917,2026-05-08T13:35:35.830494+00:00,20260508T133535Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.007957+00:00,0.0,US.AMAT,490.0,424.43,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,424.43514,424.43,490.0,SELL,NORMAL,FILLED_ALL,2026-05-08 09:35:51,490.0,424.98,208240.2,0.0,-2.824459822059138,-58.80000000000223,order_id
C,SELL,rebalance_to_target,130.55,0.0,0.0,914,0,-914,130.41,119322.7,119322.7,0.106437,0.106437,0.01,True,True,"   code stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.C  Citigroup     SELL     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2827918,2026-05-08T13:35:35.830494+00:00,20260508T133535Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.008495+00:00,0.0,US.C,914.0,130.41,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,130.41945,130.41,914.0,SELL,NORMAL,FILLED_ALL,2026-05-08 09:35:51,914.0,130.62,119386.68,0.0,-5.361930294905643,-63.979999999993765,order_id
MU,SELL,rebalance_to_target,694.53,0.26224,293988.94,463,423,-40,693.83,27781.2,321567.39,0.28684,0.0246,0.01,True,True,"    code         stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.MU  Micron Technology     SELL     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2827919,2026-05-08T13:35:35.830494+00:00,20260508T133535Z,core_satellite_alpha,1.0,1.0,1.0,filled,2026-05-13T14:02:54.009021+00:00,0.0,US.MU,40.0,693.83,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,693.83547,693.83,40.0,SELL,NORMAL,FILLED_ALL,2026-05-08 09:35:39,40.0,694.79,27791.6,0.0,-3.743538796020199,-10.399999999999636,order_id
CAT,BUY,rebalance_to_target,889.67,0.111093,124542.84,0,139,139,890.56,123664.13,0.0,0.0,0.111093,0.01,True,True,"     code   stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.CAT  Caterpillar      BUY     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2827920,2026-05-08T13:35:35.830494+00:00,20260508T133535Z,core_satellite_alpha,1.0,1.0,1.0,cancelled,2026-05-13T14:02:54.009585+00:00,0.0,US.CAT,139.0,890.56,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,890.559653,890.56,139.0,BUY,NORMAL,CANCELLED_ALL,2026-05-08 20:01:00,0.0,0.0,0.0,139.0,,,order_id
INTC,BUY,rebalance_to_target,99.62,0.186667,209266.45,0,2100,2100,99.72,209202.01,0.0,0.0,0.186667,0.01,True,True,"      code stock_name trd_side order_type order_status  ... trail_type  trail_value  trail_spread currency jp_acc_type
0  US.INTC      Intel      BUY     NORMAL   SUBMITTING  ...        N/A          N/A           N/A      USD         N/A

[1 rows x 23 columns]",,2827921,2026-05-08T13:35:35.830494+00:00,20260508T133535Z,core_satellite_alpha,1.0,1.0,1.0,cancelled,2026-05-13T14:02:54.010106+00:00,0.0,US.INTC,2100.0,99.72,False,False,MOOMOO_UNLOCK_PWD not set; skipped trade unlock,99.719623,99.72,2100.0,BUY,NORMAL,CANCELLED_ALL,2026-05-08 20:01:00,0.0,0.0,0.0,2100.0,,,order_id
